"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"22/08/2019";"22/08/2019";"CARTE 21/08 LES BROCANTEURS RENNES";"10,60";""
"21/08/2019";"21/08/2019";"CARTE 20/08 MINIT RENNES RENNES";"108,03";""
"19/08/2019";"19/08/2019";"CARTE 17/08 CUISINE COLOMBIA RENNES";"8,20";""
"19/08/2019";"19/08/2019";"CARTE 17/08 LE VELO STAR RENNES";"50,00";""
"19/08/2019";"19/08/2019";"CARTE 17/08 SUPER U 35 RENNES";"21,73";""
"17/08/2019";"17/08/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"16/08/2019";"16/08/2019";"CARTE 15/08 REL.TOTAL 00337 RENNES";"61,69";""
"15/08/2019";"15/08/2019";"CARTE 13/08 CREPERIE LA CHAU PONT L ABBE";"39,10";""
"14/08/2019";"14/08/2019";"CARTE 13/08 SOPHIE C CREATIO PONT L ABBE";"16,95";""
"14/08/2019";"14/08/2019";"CARTE 13/08 BISC PONT L'ABB PONT L ABBE";"10,40";""
"13/08/2019";"13/08/2019";"CARTE 12/08 CAMPING  LETTY BENODET";"8,00";""
"12/08/2019";"12/08/2019";"CARTE 11/08 CARREFOUR CITY RENNES";"23,49";""
"12/08/2019";"12/08/2019";"CARTE 10/08 PEAGE AUTOROUTE VEDENE CEDEX 8";"23,50";""
"12/08/2019";"12/08/2019";"CARTE 10/08 CENTRE LECLERC SAINTES";"15,90";""
"10/08/2019";"10/08/2019";"VIR Simon MARTINETTI";"114,00";""
"10/08/2019";"10/08/2019";"VIR CHIMBAULT";"65,00";""
"10/08/2019";"10/08/2019";"CARTE 09/08 MAYOTTE BISCAROS BISCARRESTO3/";"21,00";""
"09/08/2019";"09/08/2019";"CARTE 08/08 HOTEL DU CENTRE PARENTIS EN BO";"60,00";""
"08/08/2019";"08/08/2019";"F COTISATION EUROCOMPTE";"9,57";""
"03/08/2019";"05/08/2019";"ECH PRET 0154435646303";"24,45";""
"03/08/2019";"05/08/2019";"ECH PRET 0154435646301";"832,41";""
"05/08/2019";"05/08/2019";"CARTE 03/08 MAYOTTE BISCAROS BISCARRESTO1/";"50,00";""
"05/08/2019";"05/08/2019";"CARTE 02/08 CAP LANDES SPOR BIGANOS";"14,88";""
"05/08/2019";"05/08/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"577,55"
"05/08/2019";"05/08/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"1132,90"
"02/08/2019";"02/08/2019";"CARTE 31/07 ASF-VIRSAC VEDENE CEDEX 8";"29,40";""
"01/08/2019";"01/08/2019";"CARTE 31/07 CB PASSION FLEUR BISCARROSSE";"29,90";""
"01/08/2019";"01/08/2019";"CARTE 31/07 INTERMARCHE VL ST ANDRE DE CU";"53,43";""
"01/08/2019";"01/08/2019";"CARTE 31/07 TPS DES SAISONS BISCARROSSE";"12,17";""
"01/08/2019";"01/08/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"2888,34"
"31/07/2019";"31/07/2019";"CARTE 30/07 OKAWA CESSON SEVIGNE";"0,90";""
"30/07/2019";"30/07/2019";"CARTE 29/07 FNAC RENNES";"45,00";""
"30/07/2019";"30/07/2019";"CARTE 29/07 UNIQLO RENNES RENNES";"15,80";""
"30/07/2019";"30/07/2019";"CARTE 29/07 SPRINGFIELD425 RENNES";"25,98";""
"29/07/2019";"29/07/2019";"PRLV Orange";"72,99";""
"29/07/2019";"29/07/2019";"PRLV EDF clients particuliers";"26,13";""
"29/07/2019";"29/07/2019";"CARTE 27/07 CHEZ LA MERE 6 S VANNES";"62,70";""
"29/07/2019";"29/07/2019";"CARTE 26/07 MARKET RENNES";"24,30";""
"29/07/2019";"29/07/2019";"CARTE 26/07 BRASS DES HALLES VANNES";"31,00";""
"26/07/2019";"26/07/2019";"CARTE 25/07 LA CAVE DU SOMM RENNES";"26,00";""
"26/07/2019";"26/07/2019";"CARTE 25/07 MADE IN BEY RENNES";"18,00";""
"26/07/2019";"26/07/2019";"CARTE 25/07 OKAWA CESSON SEVIGNE";"1,40";""
"25/07/2019";"25/07/2019";"CARTE 24/07 REL.TOTAL 00337 RENNES";"71,59";""
"25/07/2019";"25/07/2019";"CARTE 24/07 L'EPICERIE RENNES";"9,90";""
"25/07/2019";"25/07/2019";"CARTE 24/07 DECATHLON 0073 BETTON";"35,00";""
"25/07/2019";"25/07/2019";"CARTE 24/07 CARREFOUR CITY RENNES";"32,87";""
"23/07/2019";"23/07/2019";"RET DAB 23/07/19 RENNES";"20,00";""
"24/07/2019";"24/07/2019";"CARTE 23/07 BOCAGE RENNES";"37,50";""
"21/07/2019";"21/07/2019";"RET DAB 21/07/19 LA TURBALLE";"40,00";""
"23/07/2019";"23/07/2019";"CARTE 20/07 CARREFOUR CITY RENNES";"11,35";""
"22/07/2019";"22/07/2019";"CARTE 20/07 SUPER U 35 RENNES";"14,34";""
"20/07/2019";"20/07/2019";"CARTE 19/07 BISTROT COCAGNE RENNES";"26,00";""
"20/07/2019";"20/07/2019";"CARTE 19/07 LE SABLIER RENNES";"8,50";""
"18/07/2019";"18/07/2019";"CHQ 1285152";"15,85";""
"18/07/2019";"18/07/2019";"CARTE 17/07 LE LOFT BY VILL RENNES";"230,70";""
"18/07/2019";"18/07/2019";"CARTE 17/07 LE SABLIER RENNES";"39,50";""
"17/07/2019";"17/07/2019";"CARTE 16/07 CARREFOUR CITY RENNES";"15,58";""
"17/07/2019";"17/07/2019";"CARTE 16/07 OKAWA CESSON SEVIGNE";"1,30";""
"17/07/2019";"17/07/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"16/07/2019";"16/07/2019";"CARTE 15/07 L'EPICERIE RENNES";"15,70";""
"16/07/2019";"16/07/2019";"CARTE 15/07 10 PSTA RENNES";"19,85";""
"16/07/2019";"16/07/2019";"CARTE 15/07 OKAWA CESSON SEVIGNE";"1,30";""
"15/07/2019";"15/07/2019";"CARTE 13/07 HETM071 RENNES";"12,99";""
